证券代码,证券简称,基金成立日
005136.OF,华安幸福生活A,2017-10-26
005164.OF,富荣福锦A,2018-03-16
005165.OF,富荣福锦C,2018-03-16
005228.OF,汇添富港股通专注成长,2017-11-10
005233.OF,广发睿毅领先A,2017-12-14
005241.OF,中欧时代智慧A,2018-01-25
005242.OF,中欧时代智慧C,2018-01-25
005250.OF,银华估值优势,2017-11-03
005264.OF,国都多策略,2018-05-25
005296.OF,南华丰淳A,2017-12-26
005297.OF,南华丰淳C,2017-12-26
005311.OF,万家经济新动能A,2018-02-07
005312.OF,万家经济新动能C,2018-02-07
005335.OF,浙商全景消费A,2017-12-29
005347.OF,诺德量化优选,2020-08-27
005351.OF,汇添富行业整合主题A,2018-02-13
005352.OF,鹏扬景泰成长A,2017-12-20
005353.OF,鹏扬景泰成长C,2017-12-20
005379.OF,汇添富价值创造,2018-01-19
005381.OF,泰康睿利量化多策略A,2018-02-06
005382.OF,泰康睿利量化多策略C,2018-02-06
005399.OF,长信量化价值驱动A,2018-08-09
005409.OF,华泰柏瑞战略新兴产业A,2018-01-16
005445.OF,华宝价值发现A,2018-01-24
005449.OF,华夏行业龙头,2018-03-07
005474.OF,泰康均衡优选A,2018-01-19
005475.OF,泰康均衡优选C,2018-01-19
005498.OF,银华积极成长A,2018-03-29
005504.OF,汇添富沪港深大盘价值A,2018-02-13
005521.OF,华安红利精选A,2018-01-19
005536.OF,渤海汇金量化成长,2021-12-28
005598.OF,广发中小盘精选A,2018-05-04
005609.OF,富国军工主题A,2018-03-29
005630.OF,华安研究精选A,2018-03-14
005632.OF,鹏华量化先锋,2018-02-23
005634.OF,汇安行业龙头,2019-08-28
005638.OF,农银汇理量化智慧动力,2018-03-26
005644.OF,广发沪港深行业龙头,2018-03-21
005680.OF,财通资管价值成长A,2019-03-25
005681.OF,财通资管价值成长C,2021-12-23
005701.OF,上投摩根香港精选港股通A,2018-06-08
005708.OF,国联安远见成长,2018-05-15
005728.OF,华宝绿色主题A,2018-09-04
005729.OF,南方人工智能主题,2018-10-12
005739.OF,富国转型机遇,2018-04-25
005760.OF,富国周期优势A,2018-07-10
005765.OF,中欧明睿新常态C,2018-03-14
005774.OF,华夏产业升级A,2018-08-24
005787.OF,中欧新趋势C,2018-03-21
005805.OF,华泰柏瑞医疗健康A,2018-06-25
005819.OF,国泰优势行业A,2018-05-17
005827.OF,易方达蓝筹精选,2018-09-05
005840.OF,富国产业驱动,2018-11-14
005844.OF,东方人工智能主题A,2018-06-07
005847.OF,富国沪港深业绩驱动A,2018-07-27
005848.OF,银华裕利,2018-12-07
005875.OF,易方达中盘成长,2018-07-04
005888.OF,华夏新兴消费A,2018-11-07
005889.OF,华夏新兴消费C,2018-11-07
005904.OF,华泰保兴成长优选A,2018-06-07
005905.OF,华泰保兴成长优选C,2018-06-07
005911.OF,广发双擎升级A,2018-11-02
005914.OF,景顺长城智能生活,2019-01-31
005937.OF,工银精选金融地产A,2018-11-14
005938.OF,工银精选金融地产C,2018-11-14
005939.OF,工银新能源汽车A,2018-11-14
005940.OF,工银新能源汽车C,2018-11-14
005967.OF,鹏华创新驱动,2018-06-06
006007.OF,诺安积极配置A,2018-07-27
006008.OF,诺安积极配置C,2018-07-27
006022.OF,富国大盘价值A,2018-07-19
006025.OF,诺安优化配置,2018-09-20
006038.OF,大成景恒C,2018-06-26
006049.OF,恒越研究精选A,2018-07-04
006050.OF,恒越研究精选B,2018-07-04
006058.OF,民生加银新兴成长,2018-09-07
006072.OF,民生加银创新成长A,2018-12-26
006111.OF,泰康弘实3个月定开,2018-08-23
006113.OF,汇添富创新医药,2018-08-08
006121.OF,华安双核驱动A,2019-03-08
006122.OF,华安低碳生活A,2019-03-12
006123.OF,中融高股息精选A,2019-09-26
006124.OF,中融高股息精选C,2019-09-26
006128.OF,银河和美生活A,2018-11-22
006132.OF,万家智造优势A,2018-08-28
006133.OF,万家智造优势C,2018-08-28
006136.OF,广发估值优势A,2018-09-21
006154.OF,华安制造先锋A,2018-12-25
006157.OF,财通量化核心优选,2018-09-17
006160.OF,博道启航A,2018-08-10
006161.OF,博道启航C,2018-08-10
006167.OF,德邦乐享生活A,2019-03-13
006168.OF,德邦乐享生活C,2019-03-13
006179.OF,富国品质生活A,2019-03-20
006201.OF,景顺长城量化先锋,2018-09-12
006202.OF,交银核心资产,2019-01-18
006205.OF,汇添富沪港深优势精选,2018-09-21
006218.OF,富国生物医药科技A,2019-03-12
006223.OF,交银创新成长,2018-09-27
006225.OF,人保量化基本面A,2018-09-27
006226.OF,人保量化基本面C,2018-09-27
006227.OF,华宝科技先锋A,2019-02-13
006230.OF,鹏华研究驱动,2018-09-14
006233.OF,万家汽车新趋势A,2019-10-23
006234.OF,万家汽车新趋势C,2019-10-23
006235.OF,东方城镇消费主题,2019-05-27
006240.OF,中融医疗健康精选A,2018-09-19
006241.OF,中融医疗健康精选C,2018-09-19
006243.OF,中银双息回报A,2018-09-27
006250.OF,上投摩根动力精选A,2019-01-29
006259.OF,汇添富红利增长A,2019-04-26
006260.OF,汇添富红利增长C,2019-04-26
006266.OF,永赢智能领先A,2019-03-26
006269.OF,永赢智能领先C,2019-03-26
006270.OF,汇安核心成长A,2019-01-25
006271.OF,汇安核心成长C,2019-01-25
006274.OF,圆信永丰医药健康,2018-11-29
006281.OF,万家人工智能A,2019-01-25
006299.OF,恒越核心精选A,2018-11-15
006302.OF,银华行业轮动,2018-12-03
006314.OF,中融策略优选A,2019-05-08
006315.OF,中融策略优选C,2019-05-08
006323.OF,合煦智远嘉选A,2018-09-18
006324.OF,合煦智远嘉选C,2018-09-18
006336.OF,泓德量化精选,2019-09-06
006345.OF,景顺长城集英成长两年,2019-04-16
006348.OF,银华盛利A,2018-12-13
006364.OF,招商丰韵A,2019-03-19
006365.OF,招商丰韵C,2019-03-19
006366.OF,兴业安保优选,2018-12-07
006369.OF,弘毅远方国企转型A,2018-10-31
006396.OF,长信双利优选E,2018-09-07
006397.OF,长信内需成长E,2018-09-07
006408.OF,汇添富消费升级A,2018-12-21
006419.OF,人保优势产业A,2018-12-25
006420.OF,人保优势产业C,2018-12-25
006424.OF,嘉合锦程价值精选A,2018-12-20
006425.OF,嘉合锦程价值精选C,2018-12-20
006429.OF,诺安恒鑫,2019-04-30
006430.OF,凯石澜龙头经济一年持有,2018-12-05
006435.OF,景顺长城创新成长,2019-10-17
006477.OF,中邮沪港深精选,2019-03-28
006511.OF,博道卓远A,2018-11-07
006512.OF,博道卓远C,2018-11-07
006522.OF,财通新兴蓝筹A,2019-02-28
006523.OF,财通新兴蓝筹C,2019-02-28
006527.OF,富国优质发展A,2019-01-25
006528.OF,富国优质发展C,2019-01-25
006529.OF,中欧匠心两年A,2019-06-11
006530.OF,中欧匠心两年C,2019-06-11
006533.OF,易方达科融,2019-03-26
006537.OF,恒生前海港股通精选,2019-09-18
006538.OF,东海核心价值,2018-11-23
006539.OF,南方优选价值C,2018-11-23
006540.OF,南方绩优成长C,2018-11-13
006541.OF,南方成份精选C,2018-11-20
006551.OF,中庚价值领航,2018-12-19
006556.OF,海富通研究精选C,2019-01-29
006557.OF,海富通研究精选A,2019-01-29
006564.OF,圆信永丰精选回报,2019-05-15
006568.OF,国联安行业领先,2018-12-13
006573.OF,人保行业轮动A,2019-04-24
006574.OF,人保行业轮动C,2019-04-24
006595.OF,广发港股通优质增长A,2019-05-06
006608.OF,泓德研究优选,2019-05-27
006615.OF,工银战略新兴产业A,2019-04-24
006616.OF,工银战略新兴产业C,2019-04-24
006642.OF,华泰保兴吉年利,2018-12-25
006644.OF,弘毅远方消费升级A,2019-01-30
006648.OF,汇安多因子A,2019-04-30
006649.OF,汇安多因子C,2019-04-30
006652.OF,富国金融地产行业A,2018-12-27
006718.OF,国融融盛龙头严选A,2019-05-29
006719.OF,国融融盛龙头严选C,2019-05-29
006720.OF,平安核心优势A,2019-01-29
006721.OF,平安核心优势C,2019-01-29
006736.OF,国投瑞银先进制造,2019-01-25
006759.OF,银河乐活优萃,2019-06-12
006768.OF,华安沪港深优选,2019-03-25
006769.OF,长城研究精选A,2019-08-14
006775.OF,前海开源优质成长,2019-04-09
006780.OF,广发稳健策略,2019-03-07
006785.OF,东方量化多策略A,2019-02-22
006796.OF,富国消费升级A,2019-02-20
006801.OF,前海联合科技先锋A,2019-08-14
006802.OF,前海联合科技先锋C,2019-08-14
006813.OF,博时汇悦回报,2019-01-29
006863.OF,国联安智能制造,2019-04-25
006864.OF,国联安核心资产策略,2020-11-18
006877.OF,天治量化核心精选A,2019-06-11
006878.OF,天治量化核心精选C,2019-06-11
006879.OF,华安智能生活A,2019-05-08
006881.OF,华宝大健康,2019-03-29
006882.OF,华泰保兴健康消费A,2019-05-27
006883.OF,华泰保兴健康消费C,2019-05-27
006887.OF,诺德新生活A,2019-03-28
006888.OF,诺德新生活C,2019-03-28
006890.OF,上投摩根领先优选A,2019-03-20
006904.OF,泰康产业升级A,2019-05-17
006905.OF,泰康产业升级C,2019-05-17
006921.OF,南方智诚,2019-03-12
006942.OF,华泰柏瑞量化明选A,2019-03-25
006943.OF,华泰柏瑞量化明选C,2019-03-25
006967.OF,财通行业龙头精选A,2020-04-13
006968.OF,财通行业龙头精选C,2020-04-13
006969.OF,圆信永丰高端制造,2019-04-04
006976.OF,鹏华核心优势A,2019-04-03
006977.OF,农银汇理海棠三年定开,2019-04-16
006992.OF,嘉合锦创优势精选,2019-04-16
007012.OF,湘财长顺A,2019-03-28
007013.OF,湘财长顺C,2019-03-28
007016.OF,富国睿泽回报,2019-06-05
007046.OF,方正富邦创新动力C,2019-02-20
007047.OF,长城核心优势A,2019-04-16
007056.OF,银华积极精选,2019-07-05
007063.OF,长盛研发回报,2019-04-25
007066.OF,浦银安盛先进制造A,2020-01-14
007067.OF,浦银安盛先进制造C,2020-01-14
007082.OF,平安高端制造A,2019-04-24
007083.OF,平安高端制造C,2019-04-24
007084.OF,天治转型升级,2019-05-21
007101.OF,中欧远见两年定开C,2019-04-24
007109.OF,南方沪港深核心优势,2020-12-25
007110.OF,国投瑞银港股通价值发现A,2020-03-12
007113.OF,永赢高端制造A,2019-11-01
007114.OF,永赢高端制造C,2019-11-01
007119.OF,睿远成长价值A,2019-03-26
007120.OF,睿远成长价值C,2019-03-26
007126.OF,博道远航A,2019-04-30
007127.OF,博道远航C,2019-04-30
007132.OF,长城港股通价值精选多策略A,2019-06-26
007139.OF,富国民裕沪港深精选A,2019-05-21
007146.OF,鹏华研究智选,2019-05-06
007151.OF,前海开源沪港深聚瑞,2019-06-14
007152.OF,诺德策略精选,2019-05-23
007163.OF,浦银安盛环保新能源A,2019-07-09
007164.OF,浦银安盛环保新能源C,2019-07-09
007177.OF,浙商智能行业优选A,2019-09-27
007182.OF,万家沪港深蓝筹A,2021-11-01
007183.OF,万家沪港深蓝筹C,2021-11-01
007192.OF,恒越研究精选C,2019-04-10
007193.OF,恒越核心精选C,2019-04-10
007203.OF,银河新动能A,2019-11-18
007207.OF,华夏常阳三年定开,2019-09-20
007217.OF,浙商智能行业优选C,2019-09-27
007254.OF,广发均衡价值,2019-06-21
007257.OF,凯石沣A,2019-09-23
007258.OF,凯石沣C,2019-09-23
007261.OF,融通消费升级,2019-07-16
007277.OF,恒生前海消费升级,2020-01-19
007291.OF,汇丰晋信港股通双核策略,2019-08-02
007305.OF,国联安新科技,2019-09-27
007306.OF,华泰柏瑞基本面智选A,2019-06-05
007307.OF,华泰柏瑞基本面智选C,2019-06-05
007308.OF,华宝消费升级,2019-06-19
007340.OF,南方科技创新A,2019-05-06
007341.OF,南方科技创新C,2019-05-06
007343.OF,嘉实科技创新,2019-05-07
007346.OF,易方达科技创新,2019-04-29
007349.OF,华夏科技创新A,2019-05-06
007350.OF,华夏科技创新C,2019-05-06
007353.OF,工银科技创新,2019-05-06
007368.OF,浙商沪港深精选A,2019-06-27
007369.OF,浙商沪港深精选C,2019-06-27
007381.OF,国融融信消费严选A,2019-06-19
007382.OF,国融融信消费严选C,2019-06-19
007412.OF,景顺长城绩优成长A,2019-07-02
007439.OF,东海科技动力A,2019-06-26
007449.OF,兴全多维价值A,2019-06-12
007450.OF,兴全多维价值C,2019-06-12
007460.OF,华安成长创新A,2019-06-27
007463.OF,东海科技动力C,2019-06-26
007468.OF,中信建投策略精选A,2019-11-29
007469.OF,中信建投策略精选C,2019-11-29
007484.OF,信澳核心科技A,2019-08-14
007490.OF,南方信息创新A,2019-06-19
007491.OF,南方信息创新C,2019-06-19
007493.OF,朱雀产业臻选A,2019-06-27
007494.OF,朱雀产业臻选C,2019-06-27
007499.OF,光大风格轮动C,2020-01-02
007518.OF,东方阿尔法优选A,2019-09-12
007519.OF,东方阿尔法优选C,2019-09-12
007533.OF,格林创新成长A,2019-09-02
007534.OF,格林创新成长C,2019-09-02
007570.OF,方正富邦红利精选C,2019-06-27
007592.OF,华夏价值精选,2020-01-10
007689.OF,国投瑞银新能源A,2019-11-18
007690.OF,国投瑞银新能源C,2019-11-18
007713.OF,华富科技动能A,2019-11-06
007718.OF,中银创新医疗A,2019-11-13
007731.OF,民生加银持续成长A,2019-09-24
007732.OF,民生加银持续成长C,2019-09-24
007733.OF,南方智锐A,2019-09-18
007734.OF,南方智锐C,2019-09-18
007770.OF,同泰开泰A,2019-08-28
007771.OF,同泰开泰C,2019-08-28
007775.OF,汇安量化先锋A,2019-10-30
007776.OF,汇安量化先锋C,2019-10-30
007777.OF,中邮研究精选,2019-09-11
007802.OF,兴全合泰A,2019-10-17
007803.OF,兴全合泰C,2019-10-17
007825.OF,博道志远A,2019-09-17
007826.OF,博道志远C,2019-09-17
007827.OF,华润元大量化优选C,2019-09-04
007835.OF,国泰鑫睿,2019-11-13
007854.OF,光大保德信景气先锋,2019-11-13
007861.OF,金元顺安医疗健康A,2021-07-29
007862.OF,金元顺安医疗健康C,2021-07-29
007880.OF,朱雀产业智选A,2019-12-03
007881.OF,朱雀产业智选C,2019-12-03
007893.OF,平安估值精选A,2020-04-22
007894.OF,平安估值精选C,2020-04-22
007895.OF,嘉实价值成长,2019-09-10
007944.OF,永赢乾元三年定开,2020-01-19
007968.OF,华泰柏瑞研究精选A,2019-11-19
008037.OF,兴银先锋成长A,2019-11-18
008038.OF,兴银先锋成长C,2019-11-18
008050.OF,同泰慧择A,2019-11-20
008051.OF,同泰慧择C,2019-11-20
008063.OF,汇添富大盘核心资产A,2020-01-08
008065.OF,汇添富中盘积极成长A,2020-03-13
