证券代码,证券简称,基金成立日
008997.OF,同泰竞争优势A,2020-04-27
008998.OF,同泰竞争优势C,2020-04-27
009007.OF,兴全沪港深两年持有,2020-05-22
009008.OF,平安科技创新A,2020-03-06
009009.OF,平安科技创新C,2020-03-06
009010.OF,华夏兴阳一年持有,2020-03-18
009011.OF,华夏睿阳一年持有,2020-03-18
009014.OF,泓德睿泽,2020-03-04
009023.OF,鹏华稳健回报A,2020-03-27
009024.OF,海富通科技创新C,2020-03-10
009025.OF,海富通科技创新A,2020-03-10
009026.OF,中银高质量发展机遇,2020-03-25
009029.OF,工银高质量成长A,2020-06-18
009030.OF,工银高质量成长C,2020-06-18
009049.OF,易方达高端制造,2020-03-16
009055.OF,圆信永丰大湾区主题A,2020-05-14
009056.OF,圆信永丰大湾区主题C,2020-05-14
009057.OF,博时科技创新A,2020-04-15
009058.OF,博时科技创新C,2020-04-15
009062.OF,财通智慧成长A,2020-04-03
009063.OF,财通智慧成长C,2020-04-03
009073.OF,德邦惠利A,2020-08-11
009074.OF,德邦惠利C,2020-08-11
009076.OF,工银圆兴,2020-04-23
009085.OF,银华丰享一年持有,2020-04-30
009086.OF,鹏华价值共赢两年持有期,2020-04-29
009092.OF,富国新材料新能源A,2020-06-24
009098.OF,景顺长城价值领航两年持有期,2020-03-23
009102.OF,鹏扬红利优选A,2020-07-21
009103.OF,鹏扬红利优选C,2020-07-21
009119.OF,广发品质回报A,2020-06-09
009120.OF,广发品质回报C,2020-06-09
009128.OF,明亚价值长青A,2020-04-24
009129.OF,明亚价值长青C,2020-04-24
009132.OF,广发小盘成长C,2020-03-18
009137.OF,嘉实瑞和两年持有期,2020-04-09
009138.OF,嘉实瑞成两年持有期A,2020-05-14
009139.OF,嘉实瑞成两年持有期C,2020-05-14
009140.OF,永赢竞争力精选A,2020-04-22
009141.OF,泰达价值长青A,2020-06-24
009142.OF,泰达价值长青C,2020-06-24
009152.OF,南方瑞盛三年持有A,2020-04-17
009153.OF,南方瑞盛三年持有C,2020-04-17
009188.OF,鹏华股息精选,2020-05-07
009189.OF,华宝成长策略,2020-05-09
009190.OF,景顺长城核心优选一年,2020-05-08
009199.OF,万家价值优势一年持有,2020-05-29
009200.OF,华安金享,2020-11-25
009210.OF,中欧嘉和三年持有期A,2020-05-28
009211.OF,中欧嘉和三年持有期C,2020-05-28
009223.OF,宝盈现代服务业A,2020-07-17
009224.OF,宝盈现代服务业C,2020-07-17
009234.OF,鹏华优质企业,2020-06-11
009241.OF,融通领先成长C,2020-04-01
009242.OF,中加核心智造A,2020-07-22
009243.OF,中加核心智造C,2020-07-22
009246.OF,大摩ESG量化先行,2020-07-16
009263.OF,华宝红利精选A,2020-06-03
009264.OF,泓德瑞兴三年持有,2020-07-14
009275.OF,融通医疗保健行业C,2020-04-13
009312.OF,前海联合价值优选A,2020-07-07
009313.OF,前海联合价值优选C,2020-07-07
009314.OF,广发双擎升级C,2020-06-17
009318.OF,南方成长先锋A,2020-06-12
009319.OF,南方成长先锋C,2020-06-12
009327.OF,东兴兴晟A,2020-08-05
009328.OF,东兴兴晟C,2020-08-05
009330.OF,鹏华成长价值A,2020-05-18
009331.OF,鹏华成长价值C,2020-05-18
009334.OF,富国融享18个月A,2020-05-25
009342.OF,易方达优质企业三年持有,2020-06-17
009347.OF,中融价值成长6个月持有A,2020-08-05
009348.OF,中融价值成长6个月持有C,2020-08-05
009353.OF,浙商科技创新一个月滚动持有A,2020-09-29
009354.OF,浙商科技创新一个月滚动持有C,2020-09-29
009360.OF,招商创新增长A,2020-06-17
009361.OF,招商创新增长C,2020-06-17
009362.OF,招商丰盈积极配置A,2020-07-29
009363.OF,招商丰盈积极配置C,2020-07-29
009364.OF,工银科技创新6个月A,2020-05-20
009365.OF,工银科技创新6个月C,2020-05-20
009366.OF,浦银安盛科技创新一年定开A,2020-12-14
009367.OF,浦银安盛科技创新一年定开C,2020-12-14
009368.OF,浦银安盛价值精选A,2020-07-22
009369.OF,浦银安盛价值精选C,2020-07-22
009376.OF,景顺长城成长领航,2020-05-28
009380.OF,富安达科技领航,2020-06-17
009381.OF,汇安核心资产A,2020-06-16
009382.OF,汇安核心资产C,2020-06-16
009391.OF,汇添富优质成长A,2020-05-25
009392.OF,汇添富优质成长C,2020-05-25
009394.OF,银华同力精选,2020-06-16
009402.OF,交银启明A,2020-05-27
009411.OF,中银科技创新一年定开,2020-08-05
009432.OF,德邦科技创新一年定开A,2020-11-24
009433.OF,德邦科技创新一年定开C,2020-11-24
009437.OF,信澳科技创新一年定开A,2020-05-29
009438.OF,信澳科技创新一年定开C,2020-05-29
009447.OF,财通资管科技创新一年定开,2020-07-10
009467.OF,红土创新科技创新3个月定开A,2021-12-03
009468.OF,博时健康成长主题双周定期可赎回A,2020-06-17
009469.OF,博时健康成长主题双周定期可赎回C,2020-06-17
009474.OF,国泰致远优势,2020-07-16
009486.OF,光大保德信瑞和A,2020-06-29
009487.OF,光大保德信瑞和C,2020-06-29
009488.OF,中邮价值精选A,2020-06-24
009489.OF,中邮价值精选C,2020-06-24
009490.OF,泰康科技创新一年定开,2020-09-10
009500.OF,国寿安保高股息A,2020-09-27
009501.OF,国寿安保高股息C,2020-09-27
009507.OF,国金鑫意医药消费A,2020-06-30
009508.OF,国金鑫意医药消费C,2020-06-30
009511.OF,信澳研究优选A,2020-06-22
009531.OF,九泰锐和18个月定开,2020-12-03
009539.OF,兴业睿进A,2020-07-27
009540.OF,兴业睿进C,2020-07-27
009542.OF,银华富利精选A,2020-08-13
009548.OF,汇添富中盘价值精选A,2020-07-08
009549.OF,汇添富中盘价值精选C,2020-07-08
009556.OF,兴全合丰三年持有,2020-08-28
009564.OF,汇安消费龙头A,2020-08-11
009565.OF,汇安消费龙头C,2020-08-11
009566.OF,汇安泓阳三年持有,2020-12-16
009570.OF,鹏华匠心精选A,2020-07-10
009571.OF,鹏华匠心精选C,2020-07-10
009576.OF,东方红智远三年持有期,2020-06-23
009595.OF,山西证券裕桓一年持有,2020-06-09
009596.OF,泰康创新成长A,2020-09-07
009597.OF,泰康创新成长C,2020-09-07
009618.OF,交银启汇A,2020-07-07
009619.OF,博时女性消费主题A,2020-06-30
009620.OF,博时女性消费主题C,2020-06-30
009623.OF,长城创新驱动A,2020-06-23
009630.OF,浦银安盛ESG责任投资A,2021-03-16
009631.OF,浦银安盛ESG责任投资C,2021-03-16
009636.OF,华泰柏瑞景气优选A,2020-06-17
009640.OF,中银证券优选行业龙头A,2020-09-01
009641.OF,中银证券优选行业龙头C,2020-09-01
009644.OF,东方阿尔法优势产业A,2020-06-28
009645.OF,东方阿尔法优势产业C,2020-06-28
009646.OF,南方核心成长A,2020-07-16
009647.OF,南方核心成长C,2020-07-16
009651.OF,海富通成长甄选A,2020-09-27
009652.OF,海富通成长甄选C,2020-09-27
009659.OF,民生加银新动能一年定开A,2020-07-15
009660.OF,民生加银新动能一年定开C,2020-07-15
009661.OF,平安研究睿选A,2020-07-17
009662.OF,平安研究睿选C,2020-07-17
009664.OF,汇添富医疗积极成长一年持有A,2020-08-21
009665.OF,汇添富医疗积极成长一年持有C,2020-08-21
009669.OF,长信量化价值驱动C,2020-06-09
009681.OF,南方创新精选一年定期A,2020-07-21
009682.OF,南方创新精选一年定期C,2020-07-21
009683.OF,汇添富创新增长一年定开A,2020-06-22
009684.OF,汇添富创新增长一年定开C,2020-06-22
009686.OF,华夏磐利一年定开A,2020-07-29
009687.OF,华夏磐利一年定开C,2020-07-29
009688.OF,万家鑫动力,2020-06-18
009693.OF,富国积极成长一年,2020-06-15
009695.OF,招商成长精选一年定开A,2020-06-19
009696.OF,招商成长精选一年定开C,2020-06-19
009697.OF,华夏成长精选6个月定开A,2020-06-12
009698.OF,华夏成长精选6个月定开C,2020-06-12
009704.OF,南方景气驱动A,2020-08-04
009705.OF,南方景气驱动C,2020-08-04
009707.OF,工银新兴制造A,2020-08-20
009708.OF,工银新兴制造C,2020-08-20
009714.OF,华安聚优精选,2020-07-16
009720.OF,民生加银景气行业C,2020-09-10
009750.OF,汇安价值蓝筹A,2020-07-30
009751.OF,汇安价值蓝筹C,2020-07-30
009774.OF,财通资管优选回报一年持有,2020-09-02
009776.OF,中欧阿尔法A,2020-08-20
009777.OF,中欧阿尔法C,2020-08-20
009778.OF,长信消费升级A,2020-11-04
009779.OF,长信消费升级C,2020-11-04
009781.OF,南方产业优势两年持有C,2020-08-14
009782.OF,富国兴泉回报12个月持有A,2020-08-20
009783.OF,富国兴泉回报12个月持有C,2020-08-20
009789.OF,富安达科技创新,2020-09-18
009791.OF,中欧创业板两年定开C,2020-07-16
009795.OF,嘉实远见精选两年持有期,2020-07-23
009798.OF,大成创业板两年定开C,2020-07-16
009800.OF,长盛制造精选A,2020-08-26
009801.OF,长盛制造精选C,2020-08-26
009804.OF,国泰研究优势,2020-09-29
009808.OF,易方达创新成长,2020-07-24
009837.OF,华夏磐锐一年定开A,2020-12-22
009838.OF,华夏磐锐一年定开C,2020-12-22
009840.OF,东财量化精选A,2020-07-29
009841.OF,东财量化精选C,2020-07-29
009846.OF,国富港股通远见价值A,2020-08-18
009847.OF,圆信永丰研究精选A,2020-08-27
009848.OF,圆信永丰研究精选C,2020-08-27
009853.OF,中加优势企业A,2020-08-13
009854.OF,中加优势企业C,2020-08-13
009855.OF,中加新兴成长A,2020-09-17
009856.OF,中加新兴成长C,2020-09-17
009859.OF,银华乐享A,2020-12-23
009861.OF,鹏华新兴成长A,2020-07-17
009862.OF,鹏华新兴成长C,2020-07-17
009867.OF,工银创新精选一年定开A,2020-09-10
009868.OF,工银创新精选一年定开C,2020-09-10
009869.OF,嘉实产业先锋A,2020-07-21
009870.OF,嘉实产业先锋C,2020-07-21
009872.OF,中欧责任投资A,2020-09-10
009873.OF,中欧责任投资C,2020-09-10
009878.OF,平安低碳经济A,2020-08-10
009879.OF,平安低碳经济C,2020-08-10
009880.OF,安信成长动力一年持有,2020-08-13
009882.OF,华润元大核心动力A,2020-08-24
009883.OF,华润元大核心动力C,2020-08-24
009885.OF,新华景气行业A,2020-09-27
009886.OF,新华景气行业C,2020-09-27
009892.OF,富国成长策略,2020-08-11
009893.OF,大摩优悦安和A,2020-09-24
009909.OF,嘉实动力先锋A,2020-11-23
009910.OF,嘉实动力先锋C,2020-11-23
009913.OF,中信保诚成长动力A,2020-09-09
009914.OF,富国成长动力A,2020-09-17
009918.OF,上银核心成长A,2020-09-27
009919.OF,上银核心成长C,2020-09-27
009929.OF,南方创新驱动A,2020-08-28
009930.OF,南方创新驱动C,2020-08-28
009931.OF,淳厚欣享一年持有A,2020-09-15
009939.OF,淳厚欣享一年持有C,2020-09-15
009950.OF,财通资管均衡价值一年持有,2020-11-23
009958.OF,长安鑫悦消费驱动A,2020-09-18
009959.OF,长安鑫悦消费驱动C,2020-09-18
009960.OF,银华多元机遇,2020-09-10
009968.OF,金鹰内需成长A,2020-08-20
009969.OF,金鹰内需成长C,2020-08-20
009970.OF,财通内需增长12个月定开,2020-08-07
009983.OF,永赢港股通品质生活慧选,2020-09-29
009984.OF,鹏华启航,2020-09-24
009986.OF,天弘创新领航A,2020-08-28
009987.OF,天弘创新领航C,2020-08-28
009989.OF,华宝研究精选,2020-08-26
009990.OF,华泰柏瑞品质优选A,2020-08-28
009991.OF,华泰柏瑞品质优选C,2020-08-28
009992.OF,景顺长城量化成长演化,2020-11-18
009993.OF,嘉实前沿创新,2020-09-14
009994.OF,嘉实创新先锋A,2020-10-20
009995.OF,嘉实创新先锋C,2020-10-20
009998.OF,上投摩根慧见两年持有,2020-09-17
009999.OF,东方中国红利,2020-09-30
010008.OF,中融成长优选A,2020-11-18
010009.OF,中融成长优选C,2020-11-18
010016.OF,华夏科技前沿6个月定开A,2020-09-01
010017.OF,华夏科技前沿6个月定开C,2020-09-01
010020.OF,华夏线上经济主题精选,2020-08-26
010022.OF,广发消费品精选C,2020-09-24
010023.OF,广发制造业精选C,2020-09-22
010025.OF,广发聚丰C,2020-09-25
010026.OF,广发聚瑞C,2020-09-25
010027.OF,景顺长城核心中景一年持有,2020-12-16
010032.OF,华泰柏瑞战略新兴产业C,2020-08-20
010033.OF,安信成长精选A,2020-09-29
010034.OF,安信成长精选C,2020-09-29
010037.OF,华泰柏瑞价值增长C,2020-08-20
010041.OF,嘉实港股优势A,2021-01-19
010042.OF,嘉实港股优势C,2021-01-19
010049.OF,长城成长先锋A,2020-09-09
010050.OF,长城成长先锋C,2020-09-09
010054.OF,万家健康产业A,2020-09-30
010055.OF,万家健康产业C,2020-09-30
010059.OF,东方红鼎元3个月定开,2020-09-21
010062.OF,南方行业精选一年A,2020-10-27
010063.OF,南方行业精选一年C,2020-10-27
010070.OF,方正富邦ESG主题投资A,2020-12-28
010071.OF,方正富邦ESG主题投资C,2020-12-28
010072.OF,方正富邦策略精选A,2020-12-02
010073.OF,方正富邦策略精选C,2020-12-02
010080.OF,中欧优势成长,2020-09-18
010088.OF,工银优质成长A,2020-11-24
010089.OF,工银优质成长C,2020-11-24
010090.OF,中信建投医药健康A,2020-09-24
010091.OF,中信建投医药健康C,2020-09-24
010094.OF,交银产业机遇,2020-09-24
010104.OF,景顺长城消费精选A,2020-09-24
010105.OF,景顺长城消费精选C,2020-09-24
010106.OF,华夏核心科技6个月定开A,2020-09-18
010107.OF,华夏核心科技6个月定开C,2020-09-18
010108.OF,景顺长城核心招景A,2021-01-06
010109.OF,富国价值增长A,2020-09-14
010110.OF,广发医药健康A,2020-10-21
010111.OF,广发医药健康C,2020-10-21
010114.OF,华宝新兴成长A,2020-09-24
010115.OF,易方达远见成长A,2021-03-05
010116.OF,民生加银新兴产业A,2020-09-18
010117.OF,民生加银新兴产业C,2020-09-18
010122.OF,华泰柏瑞优势领航A,2020-09-24
010123.OF,华泰柏瑞优势领航C,2020-09-24
010124.OF,兴银景气优选A,2020-11-24
010125.OF,兴银景气优选C,2020-11-24
010126.OF,平安价值成长A,2020-09-24
010127.OF,平安价值成长C,2020-09-24
010132.OF,南方创新成长A,2020-09-18
010133.OF,南方创新成长C,2020-09-18
010134.OF,广发新经济C,2020-09-22
010135.OF,泰达宏利高研发创新6个月A,2020-09-24
010136.OF,泰达宏利高研发创新6个月C,2020-09-24
010137.OF,华泰柏瑞量化创享A,2020-12-30
010138.OF,华泰柏瑞量化创享C,2020-12-30
010143.OF,交银启欣,2020-10-28
010147.OF,博道嘉兴一年持有,2020-10-23
010148.OF,浙商智选经济动能A,2021-02-02
010149.OF,浙商智选经济动能C,2021-02-02
010151.OF,东财消费精选A,2020-09-23
010152.OF,东财消费精选C,2020-09-23
010155.OF,长盛核心成长A,2020-09-23
010156.OF,长盛核心成长C,2020-09-23
010163.OF,财通资管价值精选一年持有A,2021-05-25
010164.OF,财通资管价值精选一年持有C,2021-05-25
010166.OF,招商兴和优选1年持有,2021-02-01
010176.OF,中加新兴消费A,2020-12-09
010177.OF,中加新兴消费C,2020-12-09
010178.OF,大成企业能力驱动A,2021-01-19
010179.OF,大成企业能力驱动C,2021-01-19
010180.OF,华夏科技龙头两年定开,2020-10-26
010181.OF,兴业优势产业A,2020-10-28
010182.OF,兴业优势产业C,2020-10-28
010186.OF,嘉实核心成长A,2020-10-28
010187.OF,嘉实核心成长C,2020-10-28
010190.OF,嘉实价值发现三个月定开,2020-09-21
010194.OF,博时睿祥15个月定开A,2020-12-14
010195.OF,博时睿祥15个月定开C,2020-12-14
010198.OF,易方达竞争优势企业A,2021-01-20
010201.OF,农银汇理智增一年定开,2020-10-20
010213.OF,中欧互联网先锋A,2020-10-12
010214.OF,中欧互联网先锋C,2020-10-12
010220.OF,海富通消费核心资产A,2020-11-04
010221.OF,海富通消费核心资产C,2020-11-04
010225.OF,东方红启航三年持有B,2020-10-29
010234.OF,华泰柏瑞量化增强C,2020-09-28
010237.OF,安信创新先锋A,2020-10-30
010238.OF,安信创新先锋C,2020-10-30
010246.OF,华泰柏瑞量化先行C,2020-09-28
010264.OF,鹏华成长智选A,2020-10-19
010265.OF,鹏华成长智选C,2020-10-19
010271.OF,国富价值成长一年持有A,2020-11-04
010272.OF,国富价值成长一年持有C,2020-11-04
010273.OF,嘉实价值长青A,2020-12-24
010274.OF,嘉实价值长青C,2020-12-24
010275.OF,嘉实优质精选A,2020-12-09
010276.OF,嘉实优质精选C,2020-12-09
010282.OF,中信建投智享生活A,2020-11-04
010283.OF,中信建投智享生活C,2020-11-04
010284.OF,长城价值成长六个月持有A,2021-03-16
010285.OF,长城价值成长六个月持有C,2021-03-16
010286.OF,海富通成长价值A,2020-12-17
010287.OF,海富通成长价值C,2020-12-17
010289.OF,景顺长城产业趋势,2021-01-15
010291.OF,华泰柏瑞研究精选C,2020-10-20
010293.OF,华商量化优质精选,2020-10-28
010296.OF,万家互联互通中国优势量化策略A,2020-11-04
010297.OF,万家互联互通中国优势量化策略C,2020-11-04
010298.OF,汇添富品牌驱动六个月持有,2020-10-19
010299.OF,南方产业升级A,2020-12-07
010300.OF,南方产业升级C,2020-12-07
010301.OF,达诚成长先锋A,2020-10-27
010302.OF,达诚成长先锋C,2020-10-27
010303.OF,华泰柏瑞量化创盈A,2020-11-12
010304.OF,华泰柏瑞量化创盈C,2020-11-12
010305.OF,华夏创新驱动A,2020-10-27
010306.OF,华夏创新驱动C,2020-10-27
010307.OF,东财信息产业精选A,2020-10-30
010308.OF,东财信息产业精选C,2020-10-30
010311.OF,中银量化价值C,2020-11-06
010312.OF,中银金融地产C,2020-10-16
010313.OF,上银鑫恒A,2020-11-18
010314.OF,大摩内需增长A,2020-12-16
010326.OF,博时消费创新A,2020-10-23
010327.OF,博时消费创新C,2020-10-23
010330.OF,东吴兴享成长A,2020-11-11
010333.OF,华夏核心资产A,2021-01-28
010334.OF,华夏核心资产C,2021-01-28
010335.OF,华宝竞争优势,2020-12-08
010336.OF,中欧悦享生活A,2021-01-07
010337.OF,中欧悦享生活C,2021-01-07
010338.OF,国投瑞银远见成长A,2020-12-17
010339.OF,国投瑞银远见成长C,2020-12-17
010340.OF,易方达高质量严选三年持有,2020-11-12
010345.OF,华泰柏瑞成长智选A,2020-11-23
010346.OF,华泰柏瑞成长智选C,2020-11-23
010347.OF,农银汇理策略收益一年持有,2021-01-27
010348.OF,景顺长城泰保三个月定开,2021-01-06
010350.OF,景顺长城品质长青A,2021-02-09
010357.OF,南方阿尔法A,2021-01-13
010358.OF,南方阿尔法C,2021-01-13
010363.OF,信澳匠心臻选两年持有,2020-10-30
010371.OF,大成成长进取A,2020-11-30
010372.OF,大成成长进取C,2020-11-30
010375.OF,国金鑫悦经济新动能A,2020-11-18
010376.OF,国金鑫悦经济新动能C,2020-11-18
010377.OF,广发价值核心A,2021-01-22
010378.OF,广发价值核心C,2021-01-22
010381.OF,浙商智选价值A,2021-04-16
010382.OF,浙商智选价值C,2021-04-16
010383.OF,宝盈基础产业A,2021-02-02
010384.OF,宝盈基础产业C,2021-02-02
010385.OF,华安汇嘉精选A,2020-10-30
010386.OF,华安汇嘉精选C,2020-10-30
010389.OF,易方达科益A,2020-11-02
010390.OF,易方达科益C,2020-11-02
010393.OF,工银健康生活A,2020-11-09
010394.OF,工银健康生活C,2020-11-09
010400.OF,富国融泰三个月定开,2021-02-03
010403.OF,华商景气优选,2020-12-16
010405.OF,惠升医药健康6个月持有,2020-12-22
010410.OF,长城品质成长A,2020-12-30
010411.OF,长城品质成长C,2020-12-30
010412.OF,汇安均衡优选,2021-02-09
010413.OF,财通资管宸瑞一年持有A,2021-01-20
010414.OF,财通资管宸瑞一年持有C,2021-01-20
010415.OF,华泰柏瑞质量精选A,2021-03-31
010416.OF,华泰柏瑞质量精选C,2021-03-31
010417.OF,招商盛洋3个月定开,2021-02-03
010418.OF,财通景气行业A,2020-12-09
010421.OF,海富通消费优选A,2021-04-14
010422.OF,海富通消费优选C,2021-04-14
010423.OF,国投瑞银价值成长一年持有A,2020-12-01
010424.OF,国投瑞银价值成长一年持有C,2020-12-01
010425.OF,国投瑞银开放视角精选A,2021-02-01
010426.OF,国投瑞银开放视角精选C,2021-02-01
010427.OF,兴银策略智选A,2020-11-10
010428.OF,兴银策略智选C,2020-11-10
010429.OF,中欧睿见A,2020-11-06
010437.OF,嘉实竞争力优选A,2021-02-24
010438.OF,嘉实竞争力优选C,2021-02-24
010442.OF,东方红启盛三年持有B,2021-04-12
010446.OF,国泰金福三个月定开,2021-01-07
010447.OF,中邮未来成长A,2021-04-08
010448.OF,中邮未来成长C,2021-04-08
010452.OF,广发瑞福精选A,2020-11-10
010453.OF,广发瑞福精选C,2020-11-10
010454.OF,交银内需增长一年持有,2020-12-11
010457.OF,广发睿鑫A,2021-03-18
010458.OF,广发睿鑫C,2021-03-18
010460.OF,兴业研究精选A,2020-11-25
010481.OF,汇添富高质量成长精选2年持有,2020-12-02
010483.OF,交银启道,2021-01-28
010488.OF,鹏华优选成长A,2020-12-16
010489.OF,鹏华优选成长C,2020-12-16
010490.OF,鹏华高质量增长A,2020-11-18
010491.OF,鹏华高质量增长C,2020-11-18
010500.OF,中银创新医疗C,2020-10-30
010518.OF,华夏先锋科技一年定开A,2021-03-15
010519.OF,华夏先锋科技一年定开C,2021-03-15
010536.OF,泰康优势企业A,2020-12-22
010537.OF,泰康优势企业C,2020-12-22
010549.OF,富国均衡策略,2020-11-23
010550.OF,华商双擎领航,2020-11-23
010551.OF,淳厚欣颐一年持有,2020-12-22
010552.OF,浙商智选领航三年持有A,2021-01-13
010553.OF,浙商智选领航三年持有C,2021-01-13
010554.OF,华安新兴消费A,2020-12-11
010555.OF,华安新兴消费C,2020-12-11
010557.OF,汇添富数字生活六个月持有,2020-11-18
010558.OF,汇安鑫利优选A,2021-04-02
010559.OF,汇安鑫利优选C,2021-04-02
010562.OF,永赢成长领航A,2020-12-01
010563.OF,永赢成长领航C,2020-12-01
010570.OF,新沃创新领航A,2020-12-24
010571.OF,新沃创新领航C,2020-12-24
010584.OF,渤海汇金新动能,2021-03-23
010587.OF,鹏扬先进制造A,2021-02-02
010588.OF,鹏扬先进制造C,2021-02-02
010594.OF,广发睿选三年持有,2020-12-22
010595.OF,广发成长精选A,2021-01-20
010596.OF,广发成长精选C,2021-01-20
010599.OF,汇添富高质量成长30A,2021-02-09
010602.OF,长城均衡优选,2020-12-01
010608.OF,华泰柏瑞质量领先A,2021-01-20
010609.OF,华泰柏瑞质量领先C,2021-01-20
010610.OF,上投摩根远见两年持有期,2021-01-11
010611.OF,万家战略发展产业A,2021-01-13
010612.OF,万家战略发展产业C,2021-01-13
010613.OF,中融产业趋势一年定开A,2020-12-23
010614.OF,中融产业趋势一年定开C,2020-12-23
010615.OF,国金自主创新A,2021-01-20
010616.OF,国金自主创新C,2021-01-20
010617.OF,兴业消费精选A,2020-12-16
010618.OF,兴业消费精选C,2020-12-16
010622.OF,恒越成长精选A,2021-02-09
010623.OF,恒越成长精选C,2021-02-09
010624.OF,富国稳健增长A,2021-04-28
010625.OF,富国稳健增长C,2021-04-28
010628.OF,广发瑞轩三个月定开,2021-02-03
010646.OF,融通价值趋势A,2021-04-28
010647.OF,融通价值趋势C,2021-04-28
010654.OF,天弘医药创新A,2020-12-02
010655.OF,天弘医药创新C,2020-12-02
010656.OF,华商均衡30,2022-09-21
010659.OF,民生加银质量领先A,2020-12-17
010660.OF,民生加银质量领先C,2020-12-17
010662.OF,富国均衡优选,2021-01-06
010663.OF,长江均衡成长A,2020-12-30
010664.OF,长江均衡成长C,2020-12-30
010665.OF,博时高端装备A,2020-12-08
010666.OF,博时高端装备C,2020-12-08
010667.OF,安信价值回报三年持有C,2020-12-15
010670.OF,兴全合兴C,2023-01-12
010676.OF,光大保德信新机遇A,2021-03-30
010678.OF,中欧均衡成长A,2020-12-11
010679.OF,中欧均衡成长C,2020-12-11
010690.OF,万家互联互通核心资产量化策略A,2021-03-25
010691.OF,万家互联互通核心资产量化策略C,2021-03-25
010692.OF,华夏核心价值A,2021-04-20
010693.OF,华夏核心价值C,2021-04-20
010694.OF,万家内需增长一年持有,2021-03-02
010695.OF,华夏磐益一年定开,2021-01-26
010696.OF,工银金融地产C,2020-11-23
010697.OF,中融行业先锋6个月持有A,2021-02-09
010698.OF,中融行业先锋6个月持有C,2021-02-09
010699.OF,东方红创新趋势,2021-03-15
010701.OF,恒越内需驱动A,2021-01-04
010702.OF,恒越内需驱动C,2021-01-04
010706.OF,景顺长城景骊成长,2021-05-07
010711.OF,华富国潮优选,2021-09-23
010714.OF,东方红远见价值A,2021-04-12
010715.OF,财通资管消费升级一年持有A,2021-07-20
010716.OF,财通资管消费升级一年持有C,2021-07-20
010717.OF,前海开源优质企业6个月持有A,2021-01-08
010718.OF,前海开源优质企业6个月持有C,2021-01-08
010723.OF,中欧价值成长A,2020-12-16
010724.OF,中欧价值成长C,2020-12-16
010728.OF,中泰兴诚价值一年持有A,2021-02-08
010729.OF,中泰兴诚价值一年持有C,2021-02-08
010730.OF,银华心佳两年持有期,2021-01-08
010731.OF,广发创新医疗两年持有A,2021-03-19
010732.OF,广发创新医疗两年持有C,2021-03-19
010738.OF,大成优选升级一年持有期A,2020-12-23
010739.OF,大成优选升级一年持有期C,2020-12-23
010740.OF,汇安核心价值A,2021-03-16
010741.OF,汇安核心价值C,2021-03-16
010744.OF,工银灵动价值A,2020-12-25
010745.OF,工银灵动价值C,2020-12-25
010746.OF,富安达长三角区域主题,2020-12-22
010751.OF,宝盈优质成长A,2021-10-11
010752.OF,宝盈优质成长C,2021-10-11
010755.OF,博道睿见一年持有,2020-12-08
010756.OF,兴华永兴A,2020-12-16
010757.OF,兴华永兴C,2020-12-16
010761.OF,华商甄选回报A,2021-01-19
010764.OF,九泰锐升,2021-01-20
010765.OF,国寿安保华丰A,2021-02-01
010766.OF,国寿安保华丰C,2021-02-01
010779.OF,西部利得量化优选一年持有A,2021-01-19
010780.OF,西部利得量化优选一年持有C,2021-01-19
010783.OF,德邦沪港深龙头A,2020-12-14
010784.OF,德邦沪港深龙头C,2020-12-14
010787.OF,华安优势企业A,2020-12-30
010788.OF,华安优势企业C,2020-12-30
010790.OF,海富通均衡甄选A,2021-01-26
010791.OF,海富通均衡甄选C,2021-01-26
010792.OF,华安成长先锋A,2021-02-23
010793.OF,华安成长先锋C,2021-02-23
010795.OF,民生加银价值发现一年持有A,2021-03-05
010796.OF,民生加银价值发现一年持有C,2021-03-05
010808.OF,达诚策略先锋A,2020-12-25
010809.OF,达诚策略先锋C,2020-12-25
010824.OF,天弘创新成长A,2021-02-05
010825.OF,天弘创新成长C,2021-02-05
010826.OF,大成产业趋势A,2021-02-09
010827.OF,大成产业趋势C,2021-02-09
010841.OF,华宝红利精选C,2020-12-02
010842.OF,华宝科技先锋C,2020-12-01
010846.OF,南方卓越优选3个月持有A,2021-02-09
010847.OF,南方卓越优选3个月持有C,2021-02-09
010849.OF,易方达竞争优势企业C,2021-01-20
010852.OF,中欧内需成长A,2021-08-03
010853.OF,中欧内需成长C,2021-08-03
010864.OF,泓德卓远A,2020-12-22
010865.OF,泓德卓远C,2020-12-22
010874.OF,泰康品质生活A,2020-12-30
010875.OF,泰康品质生活C,2020-12-30
010876.OF,浙商智选先锋一年持有A,2021-08-10
010877.OF,浙商智选先锋一年持有C,2021-08-10
010878.OF,诺德优势产业,2021-03-30
010885.OF,长盛优势企业精选A,2021-02-02
010886.OF,长盛优势企业精选C,2021-02-02
010887.OF,南方消费升级A,2021-01-14
010888.OF,南方消费升级C,2021-01-14
010889.OF,工银创业板两年定开C,2021-04-02
010894.OF,鹏华汇智优选A,2021-01-08
010895.OF,鹏华汇智优选C,2021-01-08
010898.OF,银河产业动力,2021-01-25
010912.OF,国泰成长价值A,2021-03-23
010913.OF,国泰成长价值C,2021-03-23
010914.OF,长盛成长精选A,2021-03-22
