证券代码,证券简称,基金成立日
012127.OF,泰达宏利新能源C,2021-05-26
012181.OF,中银智能制造C,2021-05-14
012210.OF,申万菱信智能汽车A,2021-06-22
012211.OF,申万菱信智能汽车C,2021-06-22
012214.OF,民生加银核心资产A,2021-11-04
012215.OF,民生加银核心资产C,2021-11-04
012238.OF,工银养老产业C,2021-05-11
012244.OF,广发金融地产精选A,2021-06-29
012245.OF,广发金融地产精选C,2021-06-29
012315.OF,创金合信港股通成长A,2021-06-23
012316.OF,创金合信港股通成长C,2021-06-23
012350.OF,万家元贞量化选股A,2023-03-14
012351.OF,万家元贞量化选股C,2023-03-14
012445.OF,华富新能源A,2021-06-29
012496.OF,同泰行业优选A,2021-08-30
012497.OF,同泰行业优选C,2021-08-30
012600.OF,中银内核驱动C,2021-06-11
012696.OF,同泰数字经济A,2021-07-26
012697.OF,同泰数字经济C,2021-07-26
012800.OF,泰达宏利转型机遇C,2021-07-12
012835.OF,招商景气精选A,2021-07-20
012836.OF,招商景气精选C,2021-07-20
012884.OF,华夏港股通精选C,2021-07-13
012930.OF,中庚价值先锋,2021-08-20
013004.OF,国泰价值领航A,2021-09-07
013005.OF,国泰价值领航C,2021-09-07
013049.OF,兴业能源革新A,2021-08-31
013050.OF,兴业能源革新C,2021-08-31
013132.OF,创金合信文娱媒体A,2021-08-12
013133.OF,创金合信文娱媒体C,2021-08-12
013151.OF,长信低碳环保行业量化C,2021-08-12
013152.OF,长信消费精选行业量化C,2021-08-12
013188.OF,华夏能源革新C,2021-08-04
013242.OF,北信瑞丰优势行业,2021-09-27
013262.OF,西部利得个股精选C,2021-08-09
013339.OF,创金合信芯片产业A,2021-09-28
013340.OF,创金合信芯片产业C,2021-09-28
013355.OF,工银新金融C,2021-08-23
013414.OF,太平智远三个月定开,2021-08-25
013465.OF,博时智选量化多因子A,2021-11-02
013466.OF,博时智选量化多因子C,2021-11-02
013479.OF,金鹰先进制造C,2022-01-11
013490.OF,同泰金融精选A,2021-11-30
013491.OF,同泰金融精选C,2021-11-30
013505.OF,华安新丝路主题C,2021-09-06
013511.OF,汇丰晋信低碳先锋C,2021-09-13
013613.OF,宝盈国家安全战略沪港深C,2021-09-24
013622.OF,华安智能装备主题C,2021-10-18
013641.OF,博道成长智航A,2021-10-26
013642.OF,博道成长智航C,2021-10-26
013869.OF,创金合信物联网主题A,2021-11-30
013870.OF,创金合信物联网主题C,2021-11-30
013899.OF,上投摩根全景优势A,2022-01-11
013900.OF,上投摩根全景优势C,2022-01-11
013918.OF,申万菱信量化小盘C,2021-10-25
013919.OF,建信中小盘C,2021-10-27
013940.OF,东吴医疗服务A,2021-11-30
013941.OF,东吴医疗服务C,2021-11-30
014046.OF,交银医药创新C,2021-11-05
014052.OF,银华港股通精选C,2021-12-03
014062.OF,景顺长城专精特新量化优选A,2021-11-25
014063.OF,景顺长城专精特新量化优选C,2021-11-25
014064.OF,银华农业产业C,2021-11-19
014121.OF,大成品质医疗A,2022-05-06
014122.OF,大成品质医疗C,2022-05-06
014139.OF,易方达高质量增长量化精选A,2022-05-06
014140.OF,易方达高质量增长量化精选C,2022-05-06
014163.OF,富国港股通量化精选C,2021-12-07
014185.OF,招商专精特新A,2021-12-07
014186.OF,招商专精特新C,2021-12-07
014187.OF,华夏量化优选A,2021-12-14
014188.OF,华夏量化优选C,2021-12-14
014191.OF,广发先进制造A,2022-03-01
014192.OF,广发先进制造C,2022-03-01
014198.OF,华夏智胜先锋C,2021-12-15
014299.OF,泰达宏利先进制造A,2022-01-13
014300.OF,泰达宏利先进制造C,2022-01-13
014364.OF,银华沪港深增长C,2021-12-17
014376.OF,东吴新能源汽车A,2022-01-25
014377.OF,东吴新能源汽车C,2022-01-25
014380.OF,建信中国制造2025C,2021-11-26
014382.OF,博时国企改革主题C,2021-11-30
014416.OF,泰康研究精选A,2021-12-28
014417.OF,泰康研究精选C,2021-12-28
014453.OF,中银新动力C,2021-12-28
014455.OF,中银成长优选C,2021-12-28
014536.OF,诺安高端制造C,2021-12-22
014589.OF,招商成长先导A,2022-07-21
014590.OF,招商成长先导C,2022-07-21
014629.OF,华泰紫金智能量化C,2022-01-05
014634.OF,景顺长城ESG量化A,2022-06-06
014635.OF,景顺长城ESG量化C,2022-06-06
014668.OF,银华专精特新量化优选A,2022-07-20
014669.OF,银华专精特新量化优选C,2022-07-20
014736.OF,创金合信专精特新A,2022-01-26
014737.OF,创金合信专精特新C,2022-01-26
014758.OF,民生加银医药健康C,2022-01-10
014820.OF,华安创新医药锐选量化A,2022-03-31
014821.OF,华安创新医药锐选量化C,2022-03-31
014863.OF,建信信息产业C,2022-01-28
014864.OF,建信食品饮料行业C,2022-01-28
014902.OF,长城新能源A,2022-01-19
014903.OF,长城新能源C,2022-01-19
014930.OF,富国高端制造行业C,2022-01-25
014932.OF,上投摩根医疗健康C,2022-01-25
014937.OF,上投摩根核心精选C,2022-01-26
014957.OF,华富消费成长A,2022-07-22
014958.OF,华富消费成长C,2022-07-22
014967.OF,建信潜力新蓝筹C,2022-01-25
015001.OF,工银物流产业C,2022-02-11
015002.OF,工银生态环境C,2022-02-11
015048.OF,建信新能源C,2022-01-27
015052.OF,东方红医疗升级A,2022-03-29
015053.OF,东方红医疗升级C,2022-03-29
015060.OF,华夏节能环保C,2022-02-22
015075.OF,上投摩根卓越制造C,2022-02-16
015085.OF,中欧核心消费A,2022-03-30
015086.OF,中欧核心消费C,2022-03-30
015114.OF,汇添富中国高端制造C,2022-02-14
015115.OF,汇添富中国高端制造D,2022-02-14
015123.OF,汇添富国企创新增长C,2022-02-14
015124.OF,汇添富国企创新增长D,2022-02-14
015139.OF,泰康医疗健康A,2022-03-08
015140.OF,泰康医疗健康C,2022-03-08
015145.OF,同泰新能源优选1年持有A,2022-09-29
015146.OF,同泰新能源优选1年持有C,2022-09-29
015157.OF,申万菱信行业轮动C,2022-03-01
015159.OF,申万菱信智能驱动C,2022-02-25
015170.OF,上投摩根核心成长C,2022-02-23
015171.OF,申万菱信医药先锋C,2022-03-03
015172.OF,上投摩根安全战略C,2022-02-22
015194.OF,汇添富新兴消费C,2022-03-07
015195.OF,汇添富新兴消费D,2022-03-07
015196.OF,汇添富智能制造C,2022-03-07
015197.OF,汇添富智能制造D,2022-03-07
015198.OF,汇添富移动互联C,2022-03-07
015199.OF,汇添富移动互联D,2022-03-07
015364.OF,汇丰晋信价值先锋C,2022-04-01
015395.OF,招商体育文化休闲C,2022-03-16
015429.OF,中银证券专精特新A,2022-09-22
015430.OF,中银证券专精特新C,2022-09-22
015468.OF,嘉实农业产业C,2022-03-28
015475.OF,天弘文化新兴产业C,2022-03-23
015537.OF,红塔红土新能源主题精选A,2022-09-27
015538.OF,红塔红土新能源主题精选C,2022-09-27
015567.OF,鹏华增鑫A,2022-09-05
015568.OF,鹏华增鑫C,2022-09-05
015588.OF,国泰大农业C,2022-05-20
015593.OF,国泰金鑫C,2022-05-16
015608.OF,信澳转型创新C,2022-06-01
015617.OF,永赢卓越臻选A,2022-06-14
015618.OF,永赢卓越臻选C,2022-06-14
015627.OF,圆信永丰弘阳A,2022-09-23
015628.OF,圆信永丰弘阳C,2022-09-23
015641.OF,银华数字经济A,2022-05-20
015642.OF,银华数字经济C,2022-05-20
015686.OF,富国新兴产业C,2022-06-16
015707.OF,安信新能源主题A,2022-07-26
015708.OF,安信新能源主题C,2022-07-26
015734.OF,红塔红土信息产业精选A,2023-03-08
015735.OF,红塔红土信息产业精选C,2023-03-08
015754.OF,上银内需增长C,2022-05-20
015773.OF,招商移动互联网C,2022-05-13
015889.OF,富国中证500基本面精选A,2022-07-29
015890.OF,富国中证500基本面精选C,2022-07-29
015891.OF,富国上证50基本面精选A,2022-08-17
015892.OF,富国上证50基本面精选C,2022-08-17
015904.OF,广发新能源精选A,2022-11-29
015905.OF,广发新能源精选C,2022-11-29
016013.OF,南方碳中和A,2022-10-25
016014.OF,南方碳中和C,2022-10-25
016018.OF,银河康乐C,2022-06-22
016050.OF,华商高端装备制造C,2022-07-07
016052.OF,华商改革创新C,2022-07-07
016053.OF,泰康先进材料A,2022-07-26
016054.OF,泰康先进材料C,2022-07-26
016073.OF,创金合信软件产业A,2022-09-29
016074.OF,创金合信软件产业C,2022-09-29
016113.OF,华宝高端装备A,2022-08-16
016114.OF,华宝高端装备C,2022-08-16
016269.OF,建信改革红利C,2022-07-22
016283.OF,华泰柏瑞积极优选C,2022-07-21
016291.OF,华安大国新经济C,2022-08-11
016292.OF,华安物联网主题C,2022-08-11
016336.OF,博时卓远成长一年持有A,2022-09-29
016337.OF,博时卓远成长一年持有C,2022-09-29
016352.OF,建信高端医疗C,2022-09-02
016399.OF,九泰久睿量化C,2022-08-03
016401.OF,上投摩根大盘蓝筹C,2022-08-10
016444.OF,中泰研究精选6个月持有A,2022-11-11
016445.OF,中泰研究精选6个月持有C,2022-11-11
016449.OF,南方新材料A,2023-03-21
016450.OF,南方新材料C,2023-03-21
016551.OF,诺德策略回报A,2022-10-28
016552.OF,诺德策略回报C,2022-10-28
016647.OF,兴业数字经济优选A,2022-10-12
016648.OF,兴业数字经济优选C,2022-10-12
016725.OF,农银汇理品质农业A,2022-11-22
016726.OF,农银汇理品质农业C,2022-11-22
016847.OF,中欧高端装备A,2022-11-14
016848.OF,中欧高端装备C,2022-11-14
016854.OF,汇添富成长多因子量化策略C,2022-10-12
016858.OF,国金量化多因子C,2022-10-14
016919.OF,上投摩根智慧互联C,2022-10-28
016982.OF,银河龙头C,2022-11-07
017038.OF,富国中证1000优选A,2022-11-22
017039.OF,富国中证1000优选C,2022-11-22
017073.OF,嘉实清洁能源A,2022-11-22
017074.OF,嘉实清洁能源C,2022-11-22
017099.OF,上投摩根民生需求C,2022-11-11
017165.OF,易米低碳经济A,2023-03-14
017166.OF,易米低碳经济C,2023-03-14
017177.OF,上投摩根新兴服务C,2022-11-25
017209.OF,国泰君安科技创新精选三个月持有A,2022-11-16
017210.OF,国泰君安科技创新精选三个月持有C,2022-11-16
017289.OF,泰达宏利首选企业C,2023-01-03
017488.OF,嘉实信息产业A,2022-12-16
017489.OF,嘉实信息产业C,2022-12-16
017628.OF,华商计算机行业量化C,2022-12-20
017650.OF,中庚港股通价值18个月封闭,2023-01-11
017744.OF,嘉实绿色主题A,2023-02-17
017745.OF,嘉实绿色主题C,2023-02-17
017870.OF,光大保德信消费主题C,2023-02-10
017900.OF,鹏华医药科技C,2023-02-17
017916.OF,国寿安保成长优选C,2023-02-16
017921.OF,中海医疗保健C,2023-03-06
017946.OF,国富沪港深成长精选C,2023-03-24
017948.OF,国富中小盘C,2023-03-17
017967.OF,华富新能源C,2023-02-23
018009.OF,长盛医疗行业C,2023-03-02
018023.OF,华商上游产业C,2023-03-03
110022.OF,易方达消费行业,2010-08-20
160127.OF,南方新兴消费A,2012-03-13
160133.OF,南方天元新产业,2014-07-03
160144.OF,南方新兴消费C,2020-11-17
160322.OF,华夏港股通精选A,2016-11-11
160919.OF,大成产业升级,2014-12-26
162107.OF,金鹰先进制造A,2016-08-25
162208.OF,泰达宏利首选企业A,2006-12-01
163110.OF,申万菱信量化小盘A,2011-06-16
164205.OF,天弘文化新兴产业A,2017-08-09
167702.OF,德邦量化优选A,2017-03-24
167703.OF,德邦量化优选C,2017-03-24
206012.OF,鹏华价值精选,2012-04-16
320020.OF,诺安策略精选,2012-05-28
320022.OF,诺安研究精选,2015-03-30
340006.OF,兴全全球视野,2006-09-20
360001.OF,光大核心,2004-08-27
376510.OF,上投摩根大盘蓝筹A,2010-12-20
399011.OF,中海医疗保健A,2012-03-07
450009.OF,国富中小盘A,2010-11-23
501219.OF,华夏智胜先锋A,2021-12-15
519193.OF,万家消费成长,2017-02-23
519606.OF,国泰金鑫A,2014-09-15
519673.OF,银河康乐A,2014-11-18
519714.OF,交银消费新驱动,2015-07-01
519935.OF,长信创新驱动,2016-09-29
519965.OF,长信量化多策略A,2015-07-14
519975.OF,长信量化中小盘,2015-02-04
540006.OF,汇丰晋信大盘A,2009-06-24
540007.OF,汇丰晋信中小盘,2009-12-11
540008.OF,汇丰晋信低碳先锋A,2010-06-08
540009.OF,汇丰晋信消费红利,2010-12-08
540010.OF,汇丰晋信科技先锋,2011-07-27
580008.OF,东吴新产业精选A,2020-12-29
671030.OF,西部利得事件驱动,2018-09-26
673090.OF,西部利得个股精选A,2017-01-23
850007.OF,海通智选一年持有B,2022-08-19
850788.OF,海通智选一年持有A,2022-08-19
850799.OF,海通智选一年持有C,2022-08-19
900029.OF,中信证券量化优选A,2020-05-22
900030.OF,中信证券量化优选C,2020-05-22
920002.OF,中金精选A,2020-08-04
920003.OF,中金新锐A,2020-04-07
920922.OF,中金精选C,2020-08-04
920923.OF,中金新锐C,2020-04-07
960000.OF,汇丰晋信大盘H,2015-12-28
970041.OF,国海证券量化优选一年持有A,2021-08-23
970042.OF,国海证券量化优选一年持有C,2021-08-23
